FILE	missing	percentage
GCA_000444425.1_ASM44442v1_genomic.fa	4077	0.5646814404432132
GCA_000783575.2_ASM78357v2_genomic.fa	3894	0.5393351800554016
GCA_000783595.2_ASM78359v2_genomic.fa	3917	0.5425207756232687
GCA_000783875.2_ASM78387v2_genomic.fa	3992	0.5529085872576177
GCA_000784015.2_ASM78401v2_genomic.fa	3900	0.5401662049861495
GCA_001281565.1_ASM128156v1_genomic.fa	4186	0.5797783933518006
GCA_001640985.1_ASM164098v1_genomic.fa	3857	0.5342105263157895
GCA_002055685.1_ASM205568v1_genomic.fa	3851	0.5333795013850415
GCA_002180115.1_ASM218011v1_genomic.fa	3754	0.5199445983379501
GCA_002180235.1_ASM218023v1_genomic.fa	3554	0.49224376731301944
GCA_002197405.1_ASM219740v1_genomic.fa	3597	0.4981994459833795
GCA_002310875.1_ASM231087v1_genomic.fa	3738	0.5177285318559557
GCA_002310895.1_ASM231089v1_genomic.fa	3815	0.528393351800554
GCA_002944495.1_ASM294449v1_genomic.fa	3924	0.5434903047091413
GCA_002945235.1_ASM294523v1_genomic.fa	3942	0.5459833795013851
GCA_003073935.1_ASM307393v1_genomic.fa	3845	0.5325484764542936
GCA_003204115.1_ASM320411v1_genomic.fa	3968	0.5495844875346261
GCA_003855615.1_ASM385561v1_genomic.fa	3927	0.5439058171745152
GCA_003855635.1_ASM385563v1_genomic.fa	3899	0.5400277008310249
GCA_008041895.1_ASM804189v1_genomic.fa	3896	0.539612188365651
GCA_008195605.1_ASM819560v1_genomic.fa	3797	0.5259002770083103
GCA_008630655.1_ASM863065v1_genomic.fa	3912	0.5418282548476454
GCA_008705195.1_ASM870519v1_genomic.fa	3884	0.5379501385041552
GCA_009429045.2_ASM942904v2_genomic.fa	3857	0.5342105263157895
GCA_009684665.1_ASM968466v1_genomic.fa	3925	0.543628808864266
GCA_009806715.1_ASM980671v1_genomic.fa	3719	0.5150969529085873
GCA_010442675.1_ASM1044267v1_genomic.fa	4104	0.5684210526315789
GCA_010692865.1_ASM1069286v1_genomic.fa	3931	0.5444598337950138
GCA_011045575.1_ASM1104557v1_genomic.fa	3901	0.5403047091412743
GCA_011045855.1_ASM1104585v1_genomic.fa	3874	0.5365650969529085
GCA_011149675.1_ASM1114967v1_genomic.fa	3928	0.5440443213296399
GCA_011383025.1_ASM1138302v1_genomic.fa	3954	0.547645429362881
GCA_011383045.1_ASM1138304v1_genomic.fa	3971	0.55
GCA_012516515.1_ASM1251651v1_genomic.fa	3886	0.5382271468144044
GCA_013255765.1_ASM1325576v1_genomic.fa	3867	0.535595567867036
GCA_013256075.1_ASM1325607v1_genomic.fa	3668	0.5080332409972299
GCA_013343255.1_ASM1334325v1_genomic.fa	3683	0.5101108033240997
GCA_013357405.1_ASM1335740v1_genomic.fa	3902	0.5404432132963989
GCA_013357425.1_ASM1335742v1_genomic.fa	3901	0.5403047091412743
GCA_013357445.1_ASM1335744v1_genomic.fa	3948	0.546814404432133
GCA_013357465.1_ASM1335746v1_genomic.fa	3979	0.5511080332409972
GCA_013357485.1_ASM1335748v1_genomic.fa	3979	0.5511080332409972
GCA_013357505.1_ASM1335750v1_genomic.fa	3916	0.5423822714681441
GCA_013357525.1_ASM1335752v1_genomic.fa	3909	0.5414127423822714
GCA_013357545.1_ASM1335754v1_genomic.fa	3869	0.5358725761772853
GCA_013357565.1_ASM1335756v1_genomic.fa	4019	0.5566481994459833
GCA_013357585.1_ASM1335758v1_genomic.fa	3814	0.5282548476454294
GCA_013358795.1_ASM1335879v1_genomic.fa	3833	0.5308864265927977
GCA_014843115.1_ASM1484311v1_genomic.fa	3896	0.539612188365651
GCA_014931585.1_ASM1493158v1_genomic.fa	3929	0.5441828254847645
GCA_015169015.1_ASM1516901v1_genomic.fa	3938	0.5454293628808864
GCA_015693865.1_ASM1569386v1_genomic.fa	4014	0.5559556786703601
GCA_015693965.1_ASM1569396v1_genomic.fa	4014	0.5559556786703601
GCA_015693985.1_ASM1569398v1_genomic.fa	4011	0.5555401662049861
GCA_015694005.1_ASM1569400v1_genomic.fa	4014	0.5559556786703601
GCA_015694025.1_ASM1569402v1_genomic.fa	4011	0.5555401662049861
GCA_016725905.1_ASM1672590v1_genomic.fa	3889	0.5386426592797784
GCA_016772335.1_ASM1677233v1_genomic.fa	3786	0.5243767313019391
GCA_016772355.1_ASM1677235v1_genomic.fa	3810	0.5277008310249307
GCA_016939715.1_ASM1693971v1_genomic.fa	3730	0.5166204986149585
GCA_016939735.1_ASM1693973v1_genomic.fa	3734	0.517174515235457
GCA_017161055.1_ASM1716105v1_genomic.fa	3820	0.5290858725761773
GCA_017901195.1_ASM1790119v1_genomic.fa	3813	0.5281163434903047
GCA_018138945.1_ASM1813894v1_genomic.fa	4013	0.5558171745152354
GCA_018138985.1_ASM1813898v1_genomic.fa	4099	0.5677285318559557
GCA_018139005.1_ASM1813900v1_genomic.fa	3995	0.5533240997229917
GCA_018139105.1_ASM1813910v1_genomic.fa	3979	0.5511080332409972
GCA_018336495.1_ASM1833649v1_genomic.fa	3824	0.5296398891966758
GCA_018972025.1_ASM1897202v1_genomic.fa	3854	0.5337950138504155
GCA_019192645.1_ASM1919264v1_genomic.fa	3790	0.5249307479224377
GCA_019443785.1_ASM1944378v1_genomic.fa	3836	0.5313019390581717
GCA_900635965.1_36374_E01_genomic.fa	4075	0.564404432132964
